Influencer_ID,Name,Platform,Followers,Engagement_Rate,Niche,Avg_Likes,Avg_Comments,Audience_Age,Audience_Location,Past_Brand_Collabs,Fraud_Score,Male_Percentage,Female_Percentage,Audience_Match_Score,Content_Match_Score,Sentiment_Score,Adjusted_Fraud_Score,Matching_Score,Success
1,Influencer_1,TikTok,765340,6.18,Fashion,47298,2252,23-41,UK,"Zara, L'Oreal, Nike",1,67.0,53.0,64.33333333333334,100,61.8,90,56.20733333333334,1
2,Influencer_2,Instagram,270668,4.82,Music,13046,931,29-44,Australia,"Samsung, Tesla, Nike",3,51.0,52.0,30.66666666666667,0,48.2,70,23.342666666666663,0
3,Influencer_3,TikTok,352022,2.63,Finance,9258,841,26-32,Germany,Uber Eats,4,60.0,19.0,52.99999999999999,0,26.3,60,23.984,0
4,Influencer_4,Instagram,983553,5.61,Tech,55177,2758,26-44,Canada,"Uber Eats, Apple, H&M",8,60.0,23.0,54.333333333333336,100,56.1,20,45.681333333333335,0
5,Influencer_5,YouTube,315287,6.74,Fashion,21250,965,28-44,Brazil,"Zara, Samsung",4,81.0,44.0,28.0,100,67.4,60,45.132,0
6,Influencer_6,Twitter,602996,8.99,Tech,54209,2464,16-41,USA,"Sony, L'Oreal, Adidas",2,68.0,29.0,56.333333333333336,100,89.9,80,58.26533333333333,1
7,Influencer_7,YouTube,204008,1.91,Food,3896,389,19-26,Canada,Sony,10,73.0,12.0,84.0,0,19.1,0,24.438,0
8,Influencer_8,TikTok,943661,3.24,Music,30574,1528,19-28,UK,"Coca-Cola, Sony, Uber Eats",6,90.0,47.0,95.66666666666669,0,32.400000000000006,40,33.748666666666665,0
9,Influencer_9,Instagram,454468,2.68,Travel,12179,507,27-39,UK,"Nike, Adidas",10,78.0,26.0,55.333333333333336,0,26.8,0,18.657333333333334,0
10,Influencer_10,TikTok,442388,8.93,Fitness,39505,2633,24-34,USA,"Adidas, Tesla",9,80.0,45.0,95.0,100,89.3,10,60.824,1
11,Influencer_11,YouTube,202274,4.31,Beauty,8718,544,22-42,Brazil,"Samsung, H&M, L'Oreal",2,50.0,57.0,32.33333333333333,0,43.1,80,23.84133333333333,0
12,Influencer_12,TikTok,16292,9.08,Lifestyle,1479,52,22-35,Canada,"Apple, H&M",10,84.0,30.0,90.0,0,90.8,0,38.844,0
13,Influencer_13,TikTok,197139,9.21,Lifestyle,18156,907,25-33,Canada,Tesla,2,61.0,31.0,90.33333333333331,0,92.1,80,47.16133333333333,0
14,Influencer_14,Twitter,197090,3.61,Food,7114,296,20-36,Canada,"Zara, Tesla, Sony",9,43.0,59.0,66.33333333333333,0,36.1,10,24.08133333333333,0
15,Influencer_15,YouTube,91348,5.01,Lifestyle,4576,381,20-40,USA,"H&M, Adidas",4,73.0,34.0,57.99999999999999,0,50.1,60,29.518,0
16,Influencer_16,YouTube,951077,4.73,Tech,44985,2811,25-40,South Korea,"Tesla, Zara",8,68.0,31.0,23.666666666666668,100,47.3,20,36.43066666666667,0
17,Influencer_17,YouTube,910838,3.4,Tech,30968,1407,29-42,India,"Tesla, Uber Eats",2,62.0,59.0,33.0,100,34.0,80,42.37,0
18,Influencer_18,YouTube,627355,1.83,Beauty,11480,382,17-29,UK,"H&M, Nike",8,87.0,49.0,63.0,0,18.3,20,21.044,0
19,Influencer_19,YouTube,157827,7.88,Tech,12436,444,28-26,Germany,H&M,8,71.0,45.0,61.66666666666667,100,78.8,20,51.60066666666667,0
20,Influencer_20,Instagram,406208,1.88,Gaming,7636,318,17-35,Germany,H&M,3,87.0,52.0,30.66666666666667,0,18.8,70,18.050666666666668,0
21,Influencer_21,Twitter,488020,9.64,Tech,47045,3920,26-41,France,"Tesla, L'Oreal, Adidas",10,67.0,27.0,22.333333333333336,100,96.4,0,42.93533333333333,0
22,Influencer_22,YouTube,841471,5.45,Finance,45860,2183,22-28,India,Samsung,8,53.0,21.0,53.66666666666666,0,54.5,20,25.226666666666667,0
23,Influencer_23,Instagram,596873,8.9,Gaming,53121,2656,16-33,India,Nike,8,74.0,36.0,25.333333333333336,0,89.0,20,24.35333333333333,0
24,Influencer_24,Instagram,965107,1.8,Tech,17371,1021,30-27,Japan,Sony,3,89.0,36.0,58.66666666666666,100,18.0,70,44.906666666666666,0
